pt_BR,en_US,source
Remessa para o CEJUSC ou Centros de Conciliação/Mediação,Forwarding to CEJUSC or Conciliation/Mediation Centers,legal
Ausência das condições da ação,Absence of Conditions of Action,legal
Decisão de Saneamento e Organização,Case Management Decision,legal
Homologação de Acordo ou Transação,Settlement or Transaction Approval,paper-ext
Mudança de Parte,Party Change,literal
Acolhimento de Embargos de Declaração,Motion for Clarification Granted,legal
Requisição de informações,Information Request,legal
Com efeito suspensivo,With Suspensive Effect,legal
"Perempção, litispendência ou coisa julgada","Lapse, Lis Pendens or Res Judicata",legal
Ausência de pressupostos processuais,Absence of Procedural Requirements,legal
Julgamento em Diligência,Judgment in Diligence,literal
Recurso,Appeal,legal
Indeferimento da petição inicial,Initial Petition Denied,legal
Requisição de Informações,Information Request,legal
Segurança,Security,literal
Acolhimento em parte de Embargos de Declaração,Motion for Clarification Partially Granted,legal
Movimentação processual,Procedural Movement,literal
Determinação,Order,legal
Acordo em execução ou em cumprimento de sentença,Agreement in Execution or Judgment Enforcement,paper-ext
Abandono da causa,Case Abandonment,legal
Indisponibilidade de bens,Asset Unavailability,legal
Serventuário,Court Officer,legal
Determinação de arquivamento de procedimentos investigatórios,Order to File Investigative Proceedings,legal
Reconhecimento de prevenção,Prevention Recognition,legal
Pronúncia de Decadência ou Prescrição,Ruling of Decadence or Prescription,legal
Decisão Interlocutória de Mérito,Interlocutory Decision on Merits,legal
Arquivamento,Filing,paper-ext
Processo devolvido à Secretaria,Case Returned to Court Registry,legal
Cumprimento de Suspensão ou Sobrestamento,Suspension or Stay Fulfilled,legal
Denúncia,Criminal Complaint,legal
Convenção das Partes para Cumprimento Voluntário da obrigação,Party Agreement for Voluntary Compliance,legal
Juntada,Attachment to Case File,legal
Antecipação de Tutela,Preliminary Injunction,paper
Evolução da Classe Processual,Case Class Evolution,literal
Perda do objeto,Loss of Object,legal
Expedição de alvará de levantamento,Issuance of Withdrawal Writ,legal
Exceção de pré-executividade,Pre-Execution Exception,legal
"A depender do julgamento de outra causa, de outro juízo ou declaração incidente","Pending Judgment of Another Cause, Court, or Incidental Declaration",literal
Mudança de Assunto Processual,Procedural Subject Change,literal
Retificação de Classe Processual,Case Class Rectification,literal
Cálculo de Liquidação,Liquidation Calculation,literal
Apensamento,Case Attachment,legal
Leilão ou Praça,Auction or Public Sale,legal
Ação intransmissível,Non-Transferable Action,legal
Despacho,Order,legal
Não Conhecimento de recurso,Appeal Not Admitted,legal
Cancelamento da distribuição,Distribution Cancellation,literal
Custas,Court Costs,legal
Tutela Provisória,Provisional Relief,legal
Cancelamento de Dívida Ativa,Active Debt Cancellation,legal
Homologação de Acordo em Execução ou em Cumprimento de Sentença,Agreement Approval in Execution or Judgment Enforcement,paper
Expedição de precatório/rpv,Issuance of Judicial Order/RPV,legal
Prescrição,Prescription,legal
de Julgamento,of Judgment,literal
Exclusão do Juízo 100% Digital,Exclusion from 100% Digital Court,literal
Recurso prejudicado,Appeal Prejudiced,legal
Convenção das Partes,Party Agreement,literal
Recurso Especial repetitivo,Repetitive Special Appeal,legal
Atualização de conta,Account Update,literal
Procedência do Pedido - Reconhecimento pelo réu,Claim Granted by Defendant Acknowledgement,legal
Prejudicado,Prejudiced,legal
Suscitação de Conflito de Competência,Jurisdiction Conflict Raised,legal
Suspensão do Processo,Case Suspension,legal
Retificação de movimento,Movement Rectification,literal
de pré-executividade,of Pre-Execution,literal
Exceção de incompetência,Jurisdiction Exception,legal
Ofício,Official Communication,legal
Com Resolução do Mérito,With Merit Resolution,legal
Liminar Prejudicada,Preliminary Injunction Prejudiced,literal
Enviada ao Tribunal,Sent to Court,literal
Morte do agente,Agent Death,literal
Liberdade Provisória,Provisional Release,legal
Liberdade provisória,Provisional Release,legal
Anulação de sentença/acórdão,Judgment/Decision Annulment,literal
Provimento em Parte,Partial Granting,legal
Força maior,Force Majeure,legal
Negação de Seguimento,Denial of Proceeding,legal
Ordenação de entrega de autos,Order to Deliver Case Records,literal
Prisão em Flagrante em Prisão Preventiva,Flagrante Arrest Converted to Pretrial Detention,legal
Redistribuição por prevenção,Redistribution by Prevention,literal
Inclusão no Juízo 100% Digital,Inclusion in 100% Digital Court,literal
Desistência de Recurso,Appeal Withdrawal,legal
deferimento,granted,literal
Paralisação por negligência das partes,Suspension by Party Negligence,legal
Desapensamento,Case Detachment,literal
Manutenção da Prisão Preventiva,Pretrial Detention Maintained,legal
de Instrução e Julgamento,of Instruction and Judgment,literal
Recurso Ordinário,Ordinary Appeal,legal
Incidente de Resolução de Demandas Repetitivas,Repetitive Claims Resolution Incident,legal
Conflito de Competência,Jurisdiction Conflict,legal
"Sumaríssimo (art. 852-B, § 1º/CLT)","Summary Procedure (Art. 852-B, §1, CLT)",legal
Preventiva,Preventive,literal
Paga,Paid,literal
Decretação de revelia,Default Declaration,legal
Prorrogado prazo de conclusão,Conclusion Term Extended,literal
Expedida/Certificada,Issued/Certified,literal
Renúncia ao direito pelo autor,Plaintiff Waiver of Right,legal
Emenda à Inicial,Amendment to Initial Petition,legal
Indeferimento,Denial,legal
Extinção de Punibilidade em Razão do Cumprimento de Acordo de Não Persecução Penal,Punishability Extinction by Non-Prosecution Agreement Fulfillment,legal
Não conhecimento do pedido,Claim Not Admitted,legal
Pedido conhecido em parte e improcedente,Claim Partially Admitted and Dismissed,legal
Autor falecido e sem habilitação de sucessores,Plaintiff Deceased Without Heir Qualification,legal
Ausência do autor à audiência,Plaintiff Absence at Hearing,legal
Decisão anterior,Previous Decision,literal
Extinção da Punibilidade ou da Pena,Punishability or Penalty Extinction,legal
Não-Provimento,Denial,legal
Homologação do Acordo de Não Persecução Penal,Non-Prosecution Agreement Approval,legal
Contas Aprovadas,Accounts Approved,literal
Decadência ou perempção,Decadence or Lapse,legal
Morte ou perda da capacidade,Death or Loss of Capacity,legal
Sentença confirmada,Judgment Confirmed,literal
Contas Não Prestação,Accounts Not Rendered,literal
de Interrogatório,of Interrogation,literal
Impedimento ou Suspeição,Impediment or Suspicion,legal
Homologação,Approval,legal
Recurso Extraordinário com repercussão geral,Extraordinary Appeal with General Repercussion,legal
Pena / Medida,Penalty / Measure,literal
Improcedência do pedido e improcedência do pedido contraposto,Claim and Counterclaim Dismissed,legal
Pagamento integral do débito,Full Debt Payment,literal
Perito,Expert,literal
Renúncia do queixoso ou perdão aceito,Complainant Waiver or Pardon Accepted,legal
Homologação do Pedido,Claim Approval,literal
Absolvição Sumária do art. 397-CPP,Summary Acquittal (Art. 397 CPP),legal
Pedido conhecido em parte e procedente,Claim Partially Admitted and Granted,legal
Não Acolhimento de Embargos de Declaração,Motion for Clarification Denied,legal
Substituição/Sucessão da Parte,Party Substitution/Succession,literal
Provimento,Granting,legal
Inadmissibilidade do procedimento sumaríssimo,Summary Procedure Inadmissible,legal
Recurso extraordinário,Extraordinary Appeal,legal
Contas Regularizadas,Accounts Regularized,literal
Cumprimento de transação penal,Criminal Transaction Fulfilled,legal
"Exceção de Incompetência, suspeição ou Impedimento","Jurisdiction, Suspicion or Impediment Exception",legal
Inexistência de bens penhoráveis,Absence of Seizable Assets,legal
Determinação de Citação,Order to Summon,legal
Alimentos,Alimony,legal
Recebimento de Embargos à Execução,Execution Motion Received,legal
Incompetência territorial,Territorial Lack of Jurisdiction,legal
improcedência,Dismissal of Claim,legal
Prisão,Detention,literal
Cumprimento de ANPP,Non-Prosecution Agreement Fulfilled,legal
Distribuidor,Distributor,literal
Suspensão/Sobrestamento por Recurso Especial Repetitivo,Suspension/Stay by Repetitive Special Appeal,legal
Suspeição,Suspicion,legal
Concessão,Grant,legal
Defensor Dativo,Court-Appointed Counsel,legal
Contas Aprovadas com Ressalvas,Accounts Approved with Reservations,literal
Deferimento em Parte,Partial Granting,legal
Transação Penal,Criminal Transaction,legal
Emenda a inicial,Amendment to Initial Petition,legal
Por pendência de AIREsp,Pending AIREsp Decision,legal
Não-Homologação de prisão em flagrante,Flagrante Arrest Not Approved,legal
Cancelada,Cancelled,literal
Curador,Curator,literal
Exceção de Impedimento ou Suspeição,Impediment or Suspicion Exception,legal
Relaxamento do Flagrante,Flagrante Release,legal
Queixa,Private Criminal Complaint,legal
Desmembramento de Feitos,Case Severance,legal
Réu revel citado por edital,Defendant in Default Summoned by Edict,legal
Outros auxiliares de justiça,Other Court Auxiliaries,literal
Embargos,Motion,legal
Acolhimento,Granting,legal
procedência parcial,Partial Success,paper
Provimento (art. 557 do CPC),Granting (Art. 557 CPC),legal
Pronúncia,Indictment Ruling,legal
Conhecimento em Parte e Provimento em Parte ou Concessão em Parte,Partial Admission and Partial Granting,legal
Conhecimento em Parte e Não-Provimento ou Denegação,Partial Admission and Denial,legal
Aditamento da queixa,Complaint Amendment,legal
de Mediação,of Mediation,literal
Tributos,Taxes,literal
Direito de visita,Visitation Rights,legal
Improcedência do pedido e procedência do pedido contraposto,Claim Dismissed and Counterclaim Granted,legal
Procedência em parte do pedido e procedência do pedido contraposto,Partial Claim Granted and Counterclaim Granted,legal
Cumprimento da Pena,Penalty Fulfilled,legal
de Custódia,of Custody,literal
Aditamento da denúncia,Criminal Complaint Amendment,legal
Não conhecimento do habeas corpus,Habeas Corpus Not Admitted,legal
Domiciliar,House Arrest,legal
Quebra de sigilo telemático,Telematic Confidentiality Breach,legal
Retratação do agente,Agent Retraction,legal
Incidente ou Cautelar - Procedimento Resolvido,Incidental or Precautionary Procedure Resolved,literal
Medida Cautelar Diversa da Prisão,Precautionary Measure Other Than Detention,legal
Sentença confirmada em parte,Judgment Partially Confirmed,literal
Cumprimento da suspensão condicional do processo,Conditional Suspension Fulfilled,legal
Determinada a Redistribuição,Redistribution Ordered,literal
Suspensão Condicional do Processo,Conditional Suspension of Proceedings,legal
Saída Temporária,Temporary Release,legal
Magistrado,Magistrate,literal
Reclamação,Complaint,legal
Representação por ato infracional,Representation for Infraction,legal
Ausência de citação de sucessores do réu falecido,Absence of Summons to Deceased Defendant's Heirs,literal
Sem Resolução de Mérito,Without Merit Resolution,legal
Determinação de Diligência,Order for Diligence,literal
Impugnação ao cumprimento de sentença,Judgment Enforcement Challenge,legal
"Prescrição, decadência ou perempção","Prescription, Decadence or Lapse",legal
Impedimento,Impediment,legal
Impugnação ao Cumprimento de Sentença,Judgment Enforcement Challenge,legal
Levantamento da Suspensão ou Dessobrestamento,Suspension or Stay Lifted,legal
Habeas corpus,Habeas Corpus,legal
Não-Acolhimento,Denial,legal
Homologação de Transação Penal,Criminal Transaction Approval,paper-ext
Homologação de Decisão de Juiz Leigo,Lay Judge Decision Approval,legal
de Justificação,of Justification,literal
Procedência em parte do pedido e improcedência do pedido contraposto,Partial Claim Granted and Counterclaim Dismissed,legal
Procedência do pedido e improcedência do pedido contraposto,Claim Granted and Counterclaim Dismissed,legal
Extinção por Cumprimento de Medida Sócio-Educativa,Extinction by Socio-Educational Measure Fulfillment,legal
Improcedência do pedido e procedência em parte do pedido contraposto,Claim Dismissed and Counterclaim Partially Granted,legal
Recurso Extraordinário,Extraordinary Appeal,legal
Não Admissão,Not Admitted,literal
"Prescrição intercorrente (art. 921, § 4º, CPC)","Intercurrent Prescription (Art. 921, §4, CPC)",legal
Reforma de decisão anterior,Previous Decision Reform,literal
